Id,Label,user_created_at,profile_image,followers_count,friends_count
108288348,MrJamesonNeat,Mon Jan 25 13:18:39 +0000 2010,https://pbs.twimg.com/profile_images/761810309090725888/bBJ7QFqd_normal.jpg,3023.0,4998.0
1083654594,monte483,Sat Jan 12 17:51:31 +0000 2013,https://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png,48.0,265.0
1084264573,AviWoolf,Sat Jan 12 22:06:41 +0000 2013,https://pbs.twimg.com/profile_images/704436681437372416/a6ZUrUZK_normal.jpg,3325.0,1529.0
1086656658,keithvlasak,Sun Jan 13 17:09:46 +0000 2013,https://pbs.twimg.com/profile_images/3139052352/00c80e5aa66e3d3c84c90ca3421e8856_normal.jpeg,6836.0,6686.0
108985609,AmplifyCapital,Wed Jan 27 16:24:21 +0000 2010,https://pbs.twimg.com/profile_images/579736254452887552/sbZq7i5D_normal.jpg,10361.0,8262.0
109057738,ragwed12,Wed Jan 27 21:08:09 +0000 2010,https://pbs.twimg.com/profile_images/786656586240360448/-6D6EK2G_normal.jpg,92.0,318.0
1094197688,mclatterbu,Wed Jan 16 05:16:13 +0000 2013,https://pbs.twimg.com/profile_images/622574182878986240/k0P98Nf1_normal.jpg,2932.0,1538.0
1100253632,Dholland662,Fri Jan 18 07:03:38 +0000 2013,https://pbs.twimg.com/profile_images/723088177527816192/a1Qqc-c__normal.jpg,626.0,822.0
1101083736,minedyingbride,Fri Jan 18 14:20:57 +0000 2013,https://pbs.twimg.com/profile_images/3430297336/555ecfc51d425720dc8070bd8256f943_normal.jpeg,563.0,570.0
110520517,Christa4Trump,Mon Feb 01 21:03:36 +0000 2010,https://pbs.twimg.com/profile_images/786071208848662528/Boj2DQVh_normal.jpg,124.0,285.0
1105310256,vancouverfirst1,Sun Jan 20 04:02:32 +0000 2013,https://pbs.twimg.com/profile_images/490146026074824704/_I8yrM6I_normal.png,783.0,809.0
1106503729,redwarpig,Sun Jan 20 15:15:24 +0000 2013,https://pbs.twimg.com/profile_images/700545300822257664/8p6IMrOe_normal.png,3072.0,2866.0
1106703680,tissypowell,Sun Jan 20 16:42:35 +0000 2013,https://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,165.0,392.0
1107232490,JamesScolari,Sun Jan 20 20:30:06 +0000 2013,https://pbs.twimg.com/profile_images/768661741337137153/rqq1bRoj_normal.jpg,1267.0,603.0
110728224,SRAntiFascism,Tue Feb 02 15:29:33 +0000 2010,https://pbs.twimg.com/profile_images/671444883/bukaroo_logo_normal.png,1992.0,4978.0
1110194262,HughesPrepper1,Mon Jan 21 22:40:30 +0000 2013,https://pbs.twimg.com/profile_images/728072016230678532/TvX96R0i_normal.jpg,69.0,36.0
111225697,WayneBogda,Thu Feb 04 05:47:24 +0000 2010,https://pbs.twimg.com/profile_images/777602744974573568/Wsp9ffTq_normal.jpg,158547.0,154844.0
111989084,oddfxckinJAY,Sat Feb 06 21:39:32 +0000 2010,https://pbs.twimg.com/profile_images/793256885075836928/wxhcRbiT_normal.jpg,522.0,145.0
112614146,EscapeVelo,Tue Feb 09 03:49:29 +0000 2010,https://pbs.twimg.com/profile_images/782402942863192064/9_9CejXt_normal.jpg,4953.0,4172.0
1126785380,trapshooter711,Mon Jan 28 02:21:28 +0000 2013,https://pbs.twimg.com/profile_images/584864278060011521/ydbGu0G-_normal.jpg,626.0,682.0
1131943926,McGrathVeronica,Tue Jan 29 19:43:47 +0000 2013,https://pbs.twimg.com/profile_images/3180639547/f2333abd2ec1b5902d6dd7ef4efe4f3e_normal.jpeg,117.0,50.0
1133241936,marisal001,Wed Jan 30 07:23:43 +0000 2013,https://pbs.twimg.com/profile_images/759296349858893824/vgjT4BfN_normal.jpg,445.0,572.0
1134681,rgendron,Wed Mar 14 02:51:45 +0000 2007,https://pbs.twimg.com/profile_images/654687283686215681/DeOtYjXr_normal.jpg,1087.0,1323.0
1139455316,KennyLipp,Fri Feb 01 11:45:45 +0000 2013,https://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png,279.0,126.0
1140206870,snowflakelady,Fri Feb 01 16:58:39 +0000 2013,https://pbs.twimg.com/profile_images/788810317153185792/fQiWKfFW_normal.jpg,364.0,168.0
1142469860,KellerZoe,Sat Feb 02 13:32:34 +0000 2013,https://pbs.twimg.com/profile_images/3208513910/eaef6156ad1aaed467dfc94cff94f55f_normal.jpeg,2081.0,697.0
1143033450,CornMonique,Sat Feb 02 18:01:53 +0000 2013,https://pbs.twimg.com/profile_images/778015702259228672/-C_07JUM_normal.jpg,205.0,220.0
114558569,EIconfidente,Mon Feb 15 20:43:32 +0000 2010,https://pbs.twimg.com/profile_images/1394156207/cara_de_lobo-1280x800_normal.jpg,14246.0,14281.0
1145724890,carlalykins,Sun Feb 03 17:22:12 +0000 2013,https://pbs.twimg.com/profile_images/667018968796930048/THhBUeDU_normal.jpg,4793.0,4284.0
114870635,GloUpElite,Tue Feb 16 21:45:53 +0000 2010,https://pbs.twimg.com/profile_images/796312804009672704/7FXf87HX_normal.jpg,6496.0,540.0
114872258,PennyTweetT,Tue Feb 16 21:52:52 +0000 2010,https://pbs.twimg.com/profile_images/784706110989012992/TJF0J8s9_normal.jpg,381.0,242.0
1150914516,nooneishere51,Tue Feb 05 13:18:11 +0000 2013,https://pbs.twimg.com/profile_images/710888785349742592/gg4ZHJ40_normal.jpg,2249.0,2608.0
115125517,vepchl,Wed Feb 17 17:55:56 +0000 2010,https://pbs.twimg.com/profile_images/3167263680/8c12c9e45361ad9827796dec0104f9aa_normal.jpeg,620.0,540.0
115496935,amerycarlson,Thu Feb 18 21:11:45 +0000 2010,https://pbs.twimg.com/profile_images/746049648251412480/LAAvGSMs_normal.jpg,447.0,341.0
115681686,NetworksManager,Fri Feb 19 14:51:42 +0000 2010,https://pbs.twimg.com/profile_images/1556385057/Emme_Porter__Bruce_Porter_Jr_at_Green_Cup_of_Polo_Eco_Gala_L2_Lounge_DC_normal.jpg,69624.0,65577.0
1160681953,cbeelman,Fri Feb 08 16:55:37 +0000 2013,https://pbs.twimg.com/profile_images/564684889803739136/On_kY00k_normal.jpeg,1711.0,2515.0
116594869,Levi17twit,Tue Feb 23 01:18:11 +0000 2010,https://pbs.twimg.com/profile_images/672932231057379328/J9Bi8LR1_normal.jpg,1186.0,1349.0
119534385,TrustyGordon,Wed Mar 03 23:11:07 +0000 2010,https://pbs.twimg.com/profile_images/761691637676281856/GOce7s59_normal.jpg,99428.0,20268.0
1198570398,RobertoUsasin,Tue Feb 19 20:36:29 +0000 2013,https://pbs.twimg.com/profile_images/726806882023677953/bwEEzp4Q_normal.jpg,2573.0,2649.0
1221486553,HarryIsaacJr,Tue Feb 26 12:22:42 +0000 2013,https://pbs.twimg.com/profile_images/652000722150539265/U1prDHPr_normal.png,4155.0,4451.0
122241218,tinazart,Fri Mar 12 02:23:59 +0000 2010,https://pbs.twimg.com/profile_images/736342039214751744/Lka922cs_normal.jpg,193.0,246.0
1222757654,jakezemp,Tue Feb 26 19:12:28 +0000 2013,https://pbs.twimg.com/profile_images/758091446670938112/PNElG2Kr_normal.jpg,79.0,358.0
1224996284,Sercit1,Wed Feb 27 13:59:18 +0000 2013,https://pbs.twimg.com/profile_images/459360833345052672/uy99IAJw_normal.jpeg,801.0,2360.0
1226512668,VonBodungen,Thu Feb 28 02:43:23 +0000 2013,https://pbs.twimg.com/profile_images/572563284394405888/dAfgvS5b_normal.jpeg,3003.0,2704.0
122783937,mrcharliemartin,Sat Mar 13 22:19:45 +0000 2010,https://pbs.twimg.com/profile_images/2478177859/mg3vexex0m1va0je5b2f_normal.jpeg,2821.0,3747.0
123171022,talmadge5,Mon Mar 15 06:47:49 +0000 2010,https://pbs.twimg.com/profile_images/378800000031709551/ac84f50def417c4608fd074b622db377_normal.jpeg,1355.0,4567.0
1232348810,MyersSuzan,Sat Mar 02 01:19:34 +0000 2013,https://pbs.twimg.com/profile_images/3326155129/3d47829d153399f3304aada6430682ef_normal.jpeg,4111.0,5000.0
1232727414,xpraider,Sat Mar 02 03:45:20 +0000 2013,https://pbs.twimg.com/profile_images/728000478496198657/y_eVGggv_normal.jpg,241.0,102.0
1236234241,ProcessCivil,Sat Mar 02 20:14:17 +0000 2013,https://pbs.twimg.com/profile_images/756624890913062912/cR6UtLcU_normal.jpg,475.0,1963.0
