amyklobuchar,33537967
BillCassidy,55677432
ChrisCoons,15324851
ChrisVanHollen,18137749
ChuckGrassley,10615232
GrahamBlog,14845376
InhofePress,20546536
JeffFlake,16056306
JerryMoran,18632666
JohnBoozman,5558312
JohnCornyn,13218102
KamalaHarris,30354991
lisamurkowski,18061669
lutherstrange,15141113
MarkWarner,7429102
MartinHeinrich,1099199839
maziehirono,92186819
McCaskillOffice,57065141
McConnellPress,339822881
MikeCrapo,600463589
PattyMurray,293131808
RandPaul,216881337
RonWyden,250188760
RoyBlunt,21269970
SenAlexander,76649729
SenAngusKing,1068481578
SenatorBaldwin,1074518754
SenatorBurr,21157904
SenatorCantwell,117501995
SenatorCardin,109071031
SenatorCarper,249787913
SenatorCollins,19726613
SenatorDurbin,247334603
SenatorEnzi,291756142
SenatorFischer,1071402577
SenatorHassan,946549322
SenatorHeitkamp,1061029050
SenatorIsakson,78403308
SenatorLankford,225921757
SenatorLeahy,242836537
SenatorMenendez,18695134
SenatorRisch,1096059529
SenatorRounds,2955485182
SenatorShaheen,109287731
SenatorTester,515822213
SenatorTimScott,217543151
SenatorTomUdall,60828944
SenatorWicker,264219447
SenBennetCO,224285242
SenBillNelson,20597460
SenBlumenthal,278124059
SenBobCasey,171598736
SenBobCorker,73303753
SenBookerOffice,2167097881
SenBrianSchatz,1262099252
SenCapito,193794406
SenCortezMasto,811314000000000000
SenCoryGardner,235217558
SenDanSullivan,2891210047
sendavidperdue,2863210809
SenDeanHeller,266133081
SenDonnelly,216503958
SenDuckworth,1058520120
SenFeinstein,476256944
SenFranken,171968009
SenGaryPeters,236511574
SenGillibrand,72198806
SenJackReed,486694111
SenJeffMerkley,29201047
Sen_JoeManchin,234374703
SenJohnBarrasso,202206694
SenJohnHoeven,382791093
SenJohnKennedy,816683000000000000
SenJohnMcCain,19394188
SenJohnThune,296361085
SenJoniErnst,2856787757
SenKaineOffice,1267940407
SenMarkey,21406834
SenMikeLee,88784440
SenMurphyOffice,2853793517
senorrinhatch,262756641
SenPatRoberts,75364211
senrobportman,18915145
SenRonJohnson,233737858
SenRubioPress,229966028
SenSanders,29442313
SenSasse,2962923040
SenSchumer,17494010
SenShelby,21111098
SenSherrodBrown,43910797
SenStabenow,76456274
SenTedCruz,1074480192
SenThadCochran,555474658
SenThomTillis,2964174789
SenToddYoung,234128524
SenTomCotton,968650362
SenToomey,221162525
SenWarren,970207298
SenWhitehouse,242555999
SteveDaines,11651202
