Source,Target,Strength
1694109350,3367987133,4
1695227844,26487169,3
169907554,471672239,3
17027924,15220768,3
170359315,471672239,3
17056659,2534195028,3
17056659,3419210573,3
17056659,710990834972233728,3
1707512646,26487169,5
1707512646,471672239,3
17109615,26487169,3
1713545467,26487169,8
1713545467,39344374,3
1713545467,471672239,3
1713717439,471672239,3
1719331698,16163639,8
17196238,3284112337,3
172255937,26487169,3
172255937,438829074,3
172947296,26487169,5
173137575,26487169,4
174770559,1408003598,3
174770559,16888374,12
174770559,55226111,3
175127426,117655609,3
175144654,358545917,3
17546242,438829074,5
17561562,16163639,3
175907485,109065990,4
17602601,111216929,11
17719672,471672239,4
17859082,26487169,4
17896573,24127811,3
179180471,26487169,3
179807762,66533920,3
180141039,15513604,3
18067164,26487169,3
18067164,3284112337,4
18067164,471672239,3
180965632,16163639,5
180965632,17561562,3
18113160,3890933907,5
181249422,181249422,8
181302278,181302278,4
181309184,471672239,4
18204002,24127811,3
18220885,24127811,3
18220885,358545917,3
18224278,24127811,4
18224278,358545917,3
18224811,109065990,3
182606087,4761064634,3
182663887,111216929,6
18284893,26487169,3
18294521,24127811,3
18302658,331057915,8
1852852502,26487169,3
18568363,1499268588,4
18587394,26487169,3
18608430,331057915,3
186333289,471672239,3
18639902,26487169,6
186506052,26487169,4
186506052,722942823847170048,3
1865176224,26487169,3
18680093,358545917,4
187257145,3111909523,4
187411778,26487169,3
1880898456,24127811,20
1880898456,66533920,6
18810387,26487169,4
18832833,781603145269075969,3
188807646,1499268588,3
1894404925,2534195028,3
1895204172,22179370,4
1899031500,16163639,7
1899031500,471672239,4
1899092012,18643437,3
190044015,466144416,4
1901735065,358545917,4
1901735065,42825230,7
1903532214,26487169,3
190371162,111216929,3
1904823103,471672239,3
19058949,26487169,8
19072060,757284447918194688,5
19085578,16163639,3
1910116862,471672239,3
1913410831,1558861508,4
1913711058,471672239,3
19171162,24127811,3
1917575185,2993449593,3
192036002,18643437,3
192036002,358545917,7
1921320392,471672239,3
1921399458,111216929,3
19220785,733838438,4
192935052,285967672,6
192935052,331057915,40
19317371,471672239,3
1932937592,1932937592,4
1934548688,471672239,4
19354935,26487169,3
1936536769,1618641848,3
1936536769,393190233,3
1942353900,26487169,4
1944182149,26487169,8
1944182149,3367987133,5
194713944,24127811,4
1947900744,64595461,3
