"created_at","twitter_id","screen_name","followers_count","friends_count","retweet_count","favorite_count","in_reply_to_screen_name","twitter_url","text","is_retweet","is_quote"
"2016-10-31T17:35:59Z","793144498565947393","Blacktivist__",702,390,0,0,,"http://twitter.com/Blacktivist__/status/793144498565947393","These mfs arguing about Donald trump they bout to fight nd shit",false,false
"2016-10-31T22:14:01Z","793214471078547456","Blacktivists",2881,1411,0,0,,"http://twitter.com/Blacktivists/status/793214471078547456","NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",false,false
"2016-10-31T22:17:23Z","793215319112200193","Yvette1082",1319,2078,0,0,,"http://twitter.com/Yvette1082/status/793215319112200193","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-10-31T22:28:26Z","793218097998102528","Den_Fabrizi",538,361,0,0,,"http://twitter.com/Den_Fabrizi/status/793218097998102528","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-10-31T23:32:36Z","793234248111095808","bbsqrl87",207,274,0,0,,"http://twitter.com/bbsqrl87/status/793234248111095808","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-10-31T23:51:12Z","793238924940439552","NoReliefBS",2,1,0,0,,"http://twitter.com/NoReliefBS/status/793238924940439552","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T02:05:19Z","793272680506097664","bree_baby26",603,583,0,0,,"http://twitter.com/bree_baby26/status/793272680506097664","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T04:56:07Z","793315661942362112","Damu_yaMashujaa",827,620,0,0,,"http://twitter.com/Damu_yaMashujaa/status/793315661942362112","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T07:22:15Z","793352437558116352","Tarayiaa",1425,775,0,0,,"http://twitter.com/Tarayiaa/status/793352437558116352","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T07:28:47Z","793354083558096896","QueenTrey_",1035,540,0,0,,"http://twitter.com/QueenTrey_/status/793354083558096896","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T07:37:57Z","793356389611692034","esther_nkansah",771,346,0,0,,"http://twitter.com/esther_nkansah/status/793356389611692034","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T07:46:37Z","793358567877246976","yogisele_",148,72,0,0,,"http://twitter.com/yogisele_/status/793358567877246976","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T13:08:53Z","793439669455290368","Mr_Hencherson",375,321,0,0,,"http://twitter.com/Mr_Hencherson/status/793439669455290368","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-01T13:45:38Z","793448916960350209","_Viictoriine_",207,132,0,0,,"http://twitter.com/_Viictoriine_/status/793448916960350209","RT @Blacktivists: NO LIVES MATTER TO HILLARY CLINTON. ONLY VOTES MATTER TO HILLARY CLINTON https://t.co/qq0YNvqe7E",true,false
"2016-11-02T13:36:41Z","793809053747126272","brianmcarey",52261,57480,0,0,,"http://twitter.com/brianmcarey/status/793809053747126272","Sad. How long until we find out that the person who did this is a blacktivist trying to ""start a conversation""? https://t.co/lUPdRjfKwL",false,true
